nord,east,alt,speed,vf,vl,vu,yaw,pitch,roll,af,al,au,wf,wl,wu,numsats,satellitesInView,profile,fixQuality,HDOP,timestamp,grabMsec,episode
59.9588297,30.3451776,8.026,4.113,0.0,0.0,0.0,-3.4785860615526145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.63,2024-07-19T11: 51: 58.000+03: 00,39078,new.004.001.
59.9588263,30.3451752,8.026,4.063,0.0,0.0,0.0,-3.4741476892647927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.63,2024-07-19T11: 51: 58.100+03: 00,39179,new.004.001.
59.9588228,30.3451728,8.021,4.091,0.0,0.0,0.0,-3.474713175942439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.63,2024-07-19T11: 51: 58.200+03: 00,39271,new.004.001.
59.9588194,30.3451704,8.021,4.08,0.0,0.0,0.0,-3.476086750063758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.63,2024-07-19T11: 51: 58.300+03: 00,39374,new.004.001.
59.9588159,30.345168,8.016,4.111,0.0,0.0,0.0,-3.475297861241857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.63,2024-07-19T11: 51: 58.400+03: 00,39469,new.004.001.
59.9588124,30.3451656,8.017,4.128,0.0,0.0,0.0,-3.4679552610787168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.63,2024-07-19T11: 51: 58.500+03: 00,39571,new.004.001.
59.9588089,30.3451632,8.016,4.049,0.0,0.0,0.0,-3.4720602754794077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.63,2024-07-19T11: 51: 58.600+03: 00,39671,new.004.001.
59.9588054,30.3451607,8.016,4.155,0.0,0.0,0.0,-3.484628391423019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.63,2024-07-19T11: 51: 58.700+03: 00,39770,new.004.001.
59.9588019,30.3451583,8.018,4.113,0.0,0.0,0.0,-3.47502908053705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.63,2024-07-19T11: 51: 58.800+03: 00,39870,new.004.001.
59.9587984,30.3451558,8.012,4.12,0.0,0.0,0.0,-3.4735507866606103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.65,2024-07-19T11: 51: 58.900+03: 00,39971,new.004.001.
